Field1,Field2,Field3,Status
88,1,85,in-progress
34,39,98,done
34,26,62,in-progress
76,4,47,done
36,91,65,in-progress
20,10,83,done
44,70,59,pending
71,31,10,in-progress
60,60,19,in-progress
30,87,43,in-progress
68,9,38,done
61,97,75,in-progress
13,62,56,pending
82,30,94,done
14,39,100,done
79,56,74,pending
101,81,31,done
54,56,46,pending
67,67,56,done
35,100,50,done
52,92,9,done
102,88,69,pending
89,23,46,done
61,88,68,pending
30,86,61,pending
63,12,38,in-progress
63,29,94,done
18,32,86,in-progress
32,10,65,in-progress
53,16,47,in-progress
38,86,83,in-progress
21,43,32,done
96,24,63,done
71,39,100,done
73,2,65,done
23,13,95,in-progress
56,13,34,done
70,57,65,done
19,43,53,in-progress
74,9,93,pending
97,100,7,done
36,96,100,done
55,13,54,done
105,49,37,pending
17,95,18,pending
45,41,45,in-progress
63,85,44,done
33,41,44,pending
27,58,80,done
34,26,39,pending
61,40,34,in-progress
86,41,75,pending
106,56,9,done
88,10,68,in-progress
16,31,27,pending
35,28,35,in-progress
69,87,75,done
40,39,18,in-progress
109,63,71,done
43,56,34,in-progress
105,14,98,done
93,32,65,done
32,20,72,pending
24,31,86,pending
96,48,33,done
29,94,80,pending
78,13,6,done
51,36,54,pending
43,80,29,in-progress
67,38,57,pending
105,11,46,pending
29,21,22,in-progress
24,26,79,done
16,22,58,done
93,77,86,done
104,20,35,done
57,66,12,pending
47,2,90,pending
31,29,25,done
74,85,66,done
56,63,60,done
91,73,92,done
106,52,49,done
28,53,88,pending
33,56,1,done
98,32,91,pending
12,81,14,done
98,36,14,in-progress
33,24,25,done
66,20,51,in-progress
14,86,39,pending
74,58,15,done
73,66,77,in-progress
19,89,40,done
79,96,77,done
56,8,72,pending
58,44,48,in-progress
98,65,6,done
26,85,87,done
91,37,89,done
22,97,94,done
97,50,13,in-progress
48,85,54,done
38,52,95,done
66,1,94,done
71,49,37,done
26,70,90,done
42,66,69,done
88,21,89,done
44,21,23,done
59,15,84,done
101,32,95,done
67,52,72,done
73,6,52,done
46,11,57,pending
98,86,37,in-progress
76,45,24,in-progress
85,3,57,in-progress
22,68,64,in-progress
42,3,97,done
39,40,87,pending
65,71,6,done
28,87,8,pending
21,93,70,done
53,8,18,in-progress
59,44,25,pending
107,28,73,pending
100,70,31,done
59,32,5,done
77,27,74,done
88,95,64,done
96,39,51,pending
26,16,42,in-progress
95,38,20,pending
20,25,6,done
105,29,76,in-progress
26,4,84,in-progress
76,56,76,in-progress
57,15,88,done
16,87,74,done
59,46,86,pending
32,23,35,done
16,95,43,in-progress
22,9,80,in-progress
89,21,61,done
25,15,46,done
39,68,53,in-progress
25,47,17,done
85,43,80,done
86,21,37,done
21,82,88,done
30,92,52,pending
105,97,52,done
74,49,82,pending
102,2,74,in-progress
78,50,83,in-progress
23,99,2,pending
27,80,3,in-progress
62,41,96,done
58,26,61,pending
76,74,58,done
23,62,72,done
99,10,63,in-progress
76,2,93,done
44,5,51,done
44,16,10,in-progress
60,68,98,done
36,20,84,done
14,84,78,in-progress
61,50,29,in-progress
75,93,98,pending
84,55,98,done
42,60,45,done
96,16,19,done
39,22,63,done
37,51,75,done
104,61,92,done
66,29,16,in-progress
11,83,19,in-progress
91,68,26,pending
20,22,23,in-progress
36,57,88,done
51,26,66,done
21,58,27,done
93,74,96,pending
69,61,73,done
102,28,88,done
21,53,85,done
74,83,88,done
105,67,50,in-progress
12,51,78,in-progress
43,74,5,pending
51,86,58,in-progress
52,87,100,in-progress
98,61,46,in-progress
78,44,54,done
59,38,43,pending
107,6,16,done
48,94,44,done
101,40,42,done
76,92,66,pending
77,76,41,in-progress
63,48,18,done
63,85,84,done
108,70,35,done
23,22,31,done
41,14,47,done
69,21,91,done
19,11,74,done
43,83,31,done
101,39,55,done
108,27,19,done
74,5,44,pending
97,76,25,pending
99,8,27,done
95,53,72,done
90,24,76,done
92,83,43,done
58,100,77,done
31,79,22,in-progress
77,53,47,in-progress
75,73,50,done
90,77,14,done
32,62,57,pending
69,73,50,pending
53,100,97,done
31,13,20,done
71,69,92,done
66,39,6,pending
18,50,42,in-progress
85,74,88,in-progress
19,42,22,done
109,36,63,done
95,37,34,in-progress
84,65,44,done
32,55,21,done
33,80,98,pending
33,46,48,in-progress
97,7,20,in-progress
69,25,74,done
36,55,75,done
63,100,13,in-progress
23,78,29,done
100,78,59,pending
52,46,82,pending
52,59,36,pending
56,79,22,done
61,72,91,pending
28,88,1,in-progress
82,24,47,in-progress
67,17,36,done
22,41,19,done
35,10,73,done
81,33,60,done
77,61,66,pending
87,68,77,in-progress
47,83,72,done
65,23,87,done
109,83,93,pending
64,57,15,in-progress
61,27,94,pending
96,86,68,in-progress
75,94,65,pending
78,58,69,in-progress
105,21,91,pending
53,19,26,in-progress
62,64,97,pending
99,68,83,in-progress
55,7,73,done
62,76,50,pending
65,78,80,done
59,13,3,in-progress
19,89,1,in-progress
98,90,27,in-progress
86,31,61,pending
99,34,95,done
18,33,13,in-progress
50,83,59,in-progress
77,11,65,done
50,8,49,done
48,41,55,in-progress
45,46,94,in-progress
12,53,81,in-progress
78,65,36,done
34,13,84,pending
49,16,39,pending
76,18,34,done
71,53,75,pending
105,21,25,in-progress
71,12,49,in-progress
109,64,32,in-progress
56,50,85,done
43,3,84,done
109,54,67,done
61,30,36,done
46,84,11,pending
77,3,90,done
89,84,94,done
16,63,92,done
76,55,4,in-progress
60,70,1,done
50,69,44,done
75,21,35,in-progress
84,83,70,done
103,58,36,done
83,29,26,done
52,31,13,in-progress
57,57,85,pending
57,72,87,done
70,98,23,pending
17,62,24,done
11,4,6,pending
22,74,2,done
37,32,91,in-progress
63,22,84,pending
68,70,9,in-progress
95,69,8,pending
44,74,26,pending
43,25,58,pending
95,97,2,pending
105,62,18,pending
44,70,28,in-progress
60,54,79,pending
76,27,46,done
96,94,72,done
53,94,13,pending
73,18,20,done
62,99,36,pending
38,59,64,pending
94,58,15,done
71,75,92,pending
20,82,67,in-progress
36,21,10,in-progress
91,100,51,pending
21,18,48,done
42,19,32,in-progress
21,77,61,done
55,100,69,done
81,17,9,done
34,75,20,pending
11,20,29,in-progress
108,34,38,in-progress
67,100,48,pending
20,100,24,done
95,86,59,done
62,16,92,in-progress
104,50,5,done
48,100,66,done
97,26,48,done
72,71,84,pending
88,68,56,done
100,30,78,pending
104,7,33,pending
36,80,72,done
110,14,36,pending
84,50,2,done
18,77,7,done
110,75,42,done
105,30,64,done
74,93,96,pending
99,87,43,done
12,64,49,in-progress
56,75,49,done
41,8,93,done
66,69,10,in-progress
29,69,17,in-progress
68,98,21,done
108,66,93,pending
13,91,85,pending
99,33,98,done
56,14,74,pending
73,52,15,done
92,100,95,in-progress
69,68,79,pending
96,40,61,done
46,23,4,pending
28,17,28,pending
96,43,3,pending
70,14,23,done
75,73,20,done
35,33,55,done
51,78,52,done
104,32,61,done
54,24,4,in-progress
16,88,67,in-progress
14,46,50,done
77,71,34,in-progress
53,67,81,pending
89,42,54,pending
23,80,67,pending
58,94,66,done
80,18,40,done
12,69,66,done
74,4,61,done
11,16,27,in-progress
89,5,12,pending
82,19,21,done
109,47,82,in-progress
35,3,78,pending
44,4,35,pending
91,96,50,in-progress
25,97,13,done
64,43,75,done
36,30,13,done
85,93,29,in-progress
13,74,17,done
84,37,66,pending
54,82,82,in-progress
21,60,17,in-progress
46,28,75,in-progress
49,61,3,in-progress
96,20,41,pending
35,81,1,done
80,10,19,in-progress
79,33,37,in-progress
97,94,67,done
68,97,8,done
55,89,35,done
109,2,89,in-progress
85,55,64,done
102,4,3,done
60,90,4,pending
21,97,50,done
59,75,53,done
93,72,30,done
84,95,77,pending
91,10,39,done
85,7,89,pending
76,34,49,done
75,46,48,done
95,76,51,in-progress
97,90,81,pending
26,42,7,done
82,3,18,in-progress
56,38,10,in-progress
52,8,21,done
68,55,53,done
22,64,9,done
33,51,65,in-progress
57,47,95,in-progress
52,52,97,done
67,41,50,done
32,38,19,done
31,22,14,in-progress
79,46,75,done
13,21,32,in-progress
83,68,82,done
64,22,43,pending
107,52,71,in-progress
110,68,93,done
77,97,24,done
58,9,21,done
96,58,57,done
15,67,98,pending
52,66,71,in-progress
77,60,77,done
75,40,29,done
11,56,81,pending
84,90,76,done
79,26,43,pending
102,34,23,pending
106,62,19,done
36,20,68,in-progress
30,92,54,done
97,89,27,in-progress
88,17,60,in-progress
46,35,54,done
24,72,58,done
15,38,98,done
17,36,22,done
75,35,72,done
87,47,90,done
108,91,55,in-progress
75,51,99,pending
40,8,66,done
58,12,34,pending
37,56,65,done
109,39,48,pending
36,50,7,done
28,86,4,done
101,12,98,pending
42,43,82,done
109,78,16,done
59,56,43,done
83,32,4,done
86,40,60,in-progress
90,26,85,done
105,76,2,pending
93,60,89,done
104,8,84,in-progress
106,16,24,done
92,54,89,done
39,8,44,pending
66,34,19,done
88,77,87,done
42,87,87,in-progress
15,45,35,done
81,11,22,done
41,28,50,in-progress
107,46,97,done
13,25,13,done
59,96,25,in-progress
22,35,55,done
42,73,78,done
99,32,43,in-progress
68,100,56,done
41,36,29,done
35,92,38,done
34,69,91,pending
72,64,86,done
101,12,17,pending
92,31,23,pending
67,44,40,in-progress
92,42,61,in-progress
75,46,2,done
96,44,32,pending
50,95,75,pending
37,47,28,done
46,97,58,done
76,76,47,in-progress
28,44,100,done
81,11,70,in-progress
26,38,78,pending
75,52,19,in-progress
27,47,75,in-progress
26,54,59,in-progress
51,50,10,done
90,63,32,pending
85,61,54,done
97,72,47,pending
40,78,59,done
72,56,17,done
63,80,80,in-progress
97,79,47,pending
66,4,12,in-progress
25,16,86,done
11,26,74,done
78,43,63,in-progress
40,88,89,done
57,26,36,in-progress
18,91,37,done
44,67,36,in-progress
57,26,75,done
13,36,83,pending
43,54,78,done
107,35,90,in-progress
80,71,2,in-progress
37,74,20,done
53,82,4,done
77,71,16,done
36,15,73,done
95,41,65,pending
30,77,96,done
99,61,97,in-progress
22,72,89,pending
60,42,51,done
28,31,40,in-progress
54,2,4,in-progress
15,74,19,pending
17,72,83,done
85,72,7,done
16,16,57,in-progress
81,19,10,in-progress
84,62,39,pending
54,81,51,done
40,42,24,done
83,34,41,done
14,95,14,done
110,39,93,in-progress
109,23,36,pending
97,23,62,in-progress
20,42,78,pending
57,80,40,done
80,83,55,pending
48,67,85,in-progress
54,21,90,in-progress
62,90,6,done
31,55,72,done
62,76,78,pending
100,34,8,pending
61,34,44,pending
92,2,74,done
77,96,82,done
91,34,31,done
88,54,87,done
105,42,8,done
83,41,62,pending
103,71,67,done
21,14,14,in-progress
62,6,43,done
53,75,78,pending
29,16,59,done
25,62,2,pending
18,19,15,pending
37,13,6,done
110,43,95,in-progress
32,84,98,pending
98,24,90,pending
81,40,1,done
70,30,21,pending
16,29,31,done
16,100,82,done
26,69,50,done
47,62,36,pending
34,12,97,done
24,51,72,pending
28,76,70,pending
64,30,17,done
79,78,91,in-progress
72,100,57,in-progress
17,48,96,done
24,78,25,pending
13,61,42,in-progress
50,21,70,in-progress
69,42,83,in-progress
93,98,88,done
110,26,55,pending
71,87,9,done
72,76,3,done
64,81,14,pending
29,68,69,pending
19,85,2,pending
72,36,41,done
19,13,18,done
69,87,54,pending
55,15,38,done
70,46,63,done
109,22,97,done
64,79,82,pending
18,7,11,done
51,55,14,done
57,88,39,done
18,44,60,done
70,71,60,done
77,1,92,done
91,83,13,done
96,21,31,done
79,19,27,in-progress
25,65,85,done
26,67,46,in-progress
81,66,29,done
85,88,55,pending
68,73,28,pending
18,37,89,pending
63,90,17,done
92,93,44,in-progress
34,67,18,done
60,23,55,pending
80,15,46,in-progress
65,61,38,done
80,59,98,in-progress
75,94,79,pending
11,89,99,in-progress
17,50,38,done
87,88,56,done
103,78,65,in-progress
110,82,34,pending
76,96,40,in-progress
54,58,38,pending
34,9,12,done
82,58,7,pending
71,81,56,done
21,4,72,pending
90,71,55,in-progress
41,76,77,done
18,84,91,pending
28,11,42,done
84,11,30,done
103,51,21,in-progress
64,51,38,pending
47,25,37,pending
15,18,6,pending
102,69,21,pending
25,72,90,in-progress
43,53,81,done
16,18,7,done
84,74,68,pending
92,50,25,pending
102,86,19,pending
44,80,28,done
103,80,90,pending
78,95,87,done
17,13,96,done
14,6,57,done
15,94,28,done
15,25,4,in-progress
17,100,97,done
98,87,80,done
94,41,44,done
109,24,3,pending
106,48,97,in-progress
56,2,38,done
73,28,40,done
30,40,99,pending
70,74,65,done
49,91,31,in-progress
37,34,65,done
44,62,28,done
101,35,58,done
13,3,26,pending
77,24,42,pending
90,58,67,done
63,33,53,in-progress
20,32,8,done
93,71,57,pending
18,73,53,done
83,100,26,done
37,9,70,done
84,52,35,in-progress
73,68,46,pending
14,71,95,done
41,49,90,done
53,58,41,pending
100,34,58,done
27,27,67,done
76,36,58,pending
92,30,2,in-progress
30,83,32,done
57,85,52,done
69,44,37,pending
99,40,63,in-progress
34,29,90,done
88,54,42,done
38,3,43,done
60,30,99,done
50,65,35,done
75,65,20,done
89,50,89,in-progress
37,30,72,in-progress
20,53,43,in-progress
98,50,78,pending
38,30,100,pending
62,78,45,done
34,21,53,in-progress
94,33,49,in-progress
48,16,23,in-progress
26,7,32,pending
68,28,78,pending
25,83,50,in-progress
96,67,74,pending
89,60,1,done
32,54,15,done
51,63,96,pending
54,73,71,done
103,26,71,done
68,20,91,done
87,65,16,done
28,77,42,done
33,66,7,done
19,17,28,done
59,20,70,done
93,84,88,done
86,6,68,done
105,13,94,pending
92,61,33,done
42,35,96,pending
108,44,52,pending
109,36,49,pending
75,76,31,in-progress
27,41,12,pending
28,97,29,done
70,44,67,done
94,50,13,done
41,27,37,in-progress
29,16,66,done
29,25,40,done
64,4,94,pending
51,37,13,done
42,44,35,done
42,19,46,done
90,32,74,in-progress
109,27,38,done
53,14,21,done
81,84,59,in-progress
32,86,90,done
14,83,93,in-progress
61,58,1,done
108,72,56,done
30,53,90,done
91,42,48,done
83,67,35,pending
30,30,35,done
23,78,88,done
65,6,70,done
102,43,90,done
14,75,93,pending
46,100,67,in-progress
83,64,51,done
11,86,66,in-progress
80,86,47,done
110,74,49,done
49,92,6,in-progress
23,72,31,pending
55,38,57,in-progress
56,92,95,done
33,27,8,pending
48,61,24,in-progress
67,96,32,pending
71,26,53,done
106,5,44,in-progress
37,80,67,done
23,12,3,pending
79,64,44,in-progress
67,60,24,pending
89,34,42,in-progress
47,44,53,done
50,42,23,in-progress
61,4,5,done
24,94,21,done
30,93,48,done
49,87,81,in-progress
50,24,1,done
96,81,50,done
49,8,6,done
93,20,71,in-progress
71,67,3,done
70,9,72,done
109,33,60,pending
89,26,14,done
107,85,60,done
35,97,54,done
77,78,46,pending
105,57,78,in-progress
104,15,8,in-progress
23,58,13,done
96,57,34,pending
102,44,84,pending
110,55,39,done
19,95,27,done
29,56,74,done
43,3,23,pending
52,79,69,in-progress
31,88,83,in-progress
55,53,8,in-progress
72,52,51,done
31,12,70,done
12,68,31,done
88,44,11,done
69,3,17,done
87,30,62,in-progress
60,75,55,done
73,18,46,pending
37,57,98,done
48,98,9,done
21,27,84,in-progress
66,85,38,done
53,48,24,pending
92,23,16,done
49,55,77,done
24,68,4,done
65,5,30,in-progress
54,60,100,done
100,68,2,done
51,12,66,done
60,74,8,done
54,18,30,pending
96,99,4,done
60,59,48,done
55,7,68,done
103,83,3,done
91,63,54,done
31,16,5,in-progress
56,9,59,pending
11,32,6,done
93,92,5,pending
100,43,20,in-progress
18,93,89,done
21,37,48,done
59,14,88,done
98,82,63,pending
110,53,69,pending
23,52,93,done
73,70,60,in-progress
57,45,72,done
29,89,47,done
14,58,34,done
103,43,47,done
46,26,61,pending
28,89,40,done
93,53,51,done
45,62,99,in-progress
43,10,6,in-progress
98,91,98,pending
103,7,38,done
44,48,22,pending
99,46,1,done
85,48,25,in-progress
47,54,16,done
73,67,51,in-progress
104,10,90,in-progress
38,74,76,done
99,54,40,in-progress
102,91,16,done
39,65,60,in-progress
97,5,24,done
41,100,97,done
71,39,98,in-progress
85,20,14,done
73,94,85,done
106,20,2,pending
75,39,39,in-progress
110,65,37,done
40,28,8,pending
65,48,59,in-progress
39,72,26,done
81,80,86,pending
76,30,94,in-progress
53,19,82,in-progress
93,11,17,done
17,39,4,done
47,77,42,done
91,84,46,done
63,29,86,pending
86,11,89,pending
21,66,90,pending
26,4,89,pending
23,63,39,pending
62,44,33,done
28,50,8,done
81,50,82,pending
47,42,87,done
92,48,54,done
59,50,91,done
46,31,17,pending
16,89,89,done
106,27,66,pending
83,64,47,done
82,35,100,done
98,7,33,in-progress
13,9,11,done
15,79,4,done
39,26,72,done
42,20,48,done
35,93,85,done
68,57,73,done
86,20,31,pending
99,97,87,done
31,29,34,pending
42,35,23,done
16,85,14,done
102,76,99,done
69,64,61,done
108,11,28,done
84,67,56,in-progress
19,18,95,in-progress
34,81,45,done
91,74,82,done
28,25,89,done
59,97,55,done
23,50,86,pending
41,10,66,done
56,98,67,pending
15,96,79,in-progress
49,9,38,done
110,49,16,done
55,47,58,pending
15,42,23,done
93,84,47,pending
13,94,74,done
89,93,46,done
52,69,34,done
47,91,26,done
30,93,70,done
37,30,66,in-progress
45,100,91,done
48,10,51,in-progress
36,28,28,pending
68,49,11,in-progress
75,28,34,in-progress
108,56,61,done
66,95,99,in-progress
74,80,1,done
34,26,70,done
65,13,28,done
48,79,78,done
81,38,2,done
85,36,95,done
50,87,16,pending
22,34,87,pending
31,79,69,done
106,4,44,pending
30,97,10,done
54,80,11,pending
86,59,10,done
109,25,40,done
84,19,99,done
100,33,65,done
81,55,72,done
61,83,37,done
15,56,95,done
87,7,6,pending
57,55,48,in-progress
101,97,54,done
85,9,62,in-progress
27,75,51,done
95,18,68,done
76,78,16,done
95,56,77,in-progress
42,41,73,in-progress
21,87,96,done
65,55,100,pending
13,81,63,pending
14,6,29,done
52,40,8,pending
15,35,43,pending
107,85,45,in-progress
75,75,54,pending
67,7,75,done
81,35,26,done
77,94,89,in-progress
16,40,85,done
68,28,89,in-progress
106,43,91,pending
68,3,12,done
41,100,79,done
90,93,79,done
33,37,35,done
47,62,61,pending
24,68,73,pending
19,90,18,done
53,49,25,pending
11,77,59,done
32,30,33,done
101,45,90,done
103,71,73,done
95,28,75,done
12,29,94,done
72,33,61,done
40,75,18,done
31,40,99,in-progress
66,4,2,done
46,76,56,done
21,68,85,done
87,55,59,in-progress
57,95,87,in-progress
57,2,60,done
110,11,49,done
57,41,80,done
44,21,29,in-progress
29,47,42,done
71,79,41,done
22,33,96,done
75,75,68,done
95,32,35,in-progress
28,18,63,in-progress
24,88,100,in-progress
42,87,98,pending
46,26,71,in-progress
97,18,45,done
53,27,42,done
71,45,38,done
12,39,79,done
74,54,53,pending
52,100,73,in-progress
24,5,46,done
32,64,4,done
61,69,62,in-progress
68,4,54,pending
40,47,93,pending
72,14,4,done
103,100,72,in-progress
64,29,52,in-progress
78,83,75,in-progress
81,17,35,in-progress
54,39,53,done
53,74,7,done
44,12,46,pending
18,18,4,pending
91,88,13,done
23,55,79,in-progress
53,96,89,done
108,92,49,pending
107,71,20,done
40,42,22,in-progress
104,63,10,in-progress
103,9,12,done
94,14,27,done
69,43,88,pending
41,4,44,done
63,19,97,done
95,85,35,in-progress
13,1,19,done
69,44,42,pending
15,38,100,pending
57,29,92,done
40,13,78,done
102,63,32,in-progress
77,27,91,in-progress
44,25,29,pending
12,75,65,done
17,90,100,in-progress
35,68,42,in-progress
109,19,83,in-progress
37,23,14,in-progress
64,10,53,done
45,36,57,pending
104,3,70,pending
89,79,21,done
62,31,86,pending
87,77,79,in-progress
50,41,78,in-progress
28,4,21,pending
75,44,95,pending
12,23,72,done
110,90,49,done
25,12,28,in-progress
74,65,14,pending
66,21,86,done
82,19,50,done
25,76,71,in-progress
57,40,36,in-progress
26,12,31,done
96,6,40,done
94,37,57,done
46,44,44,in-progress
58,71,65,pending
99,56,76,pending
70,49,40,in-progress
54,93,72,in-progress
11,44,76,done
86,94,16,done
104,13,3,pending
73,95,81,pending
64,7,58,done
28,14,8,in-progress
96,82,97,done
72,9,66,in-progress
42,31,60,done
58,49,47,done
57,41,25,in-progress
69,84,96,pending
37,79,54,pending
85,50,34,in-progress
24,91,2,in-progress
35,77,23,in-progress
105,10,97,pending
12,88,59,pending
104,56,50,in-progress
42,76,25,done
89,56,75,in-progress
21,95,86,in-progress
40,7,70,done
82,26,48,pending
69,21,42,pending
86,34,86,done
77,64,55,pending
67,17,88,done
24,94,90,done
86,55,11,pending
34,81,86,done
104,88,55,done
101,70,24,pending
73,12,76,done
27,72,99,done
85,56,2,done
73,52,33,pending
85,45,90,in-progress
67,42,80,pending
90,76,43,done
68,17,84,done
14,75,13,in-progress
18,95,22,in-progress
79,36,93,done
39,86,15,in-progress
69,44,31,done
19,82,70,done
28,79,96,done
94,14,3,in-progress
105,87,75,done
63,79,79,done
23,81,64,done
108,17,26,pending
94,20,86,pending
106,87,17,done
21,7,96,done
89,51,26,done
67,97,78,pending
90,52,97,in-progress
87,87,10,pending
94,73,4,done
33,30,41,pending
49,86,59,done
87,8,5,in-progress
97,25,37,pending
68,5,48,pending
52,74,1,pending
55,26,36,done
46,20,86,done
54,98,48,done
39,33,10,done
20,64,76,done
71,49,78,pending
57,17,45,pending
44,76,42,in-progress
90,96,88,pending
73,4,22,in-progress
42,3,25,in-progress
110,58,30,done
87,24,88,pending
105,16,3,in-progress
58,88,5,pending
20,24,59,done
91,76,47,pending
110,88,35,pending
93,46,48,done
28,8,56,pending
13,85,62,done
96,22,2,pending
34,18,11,done
30,7,80,in-progress
28,97,30,in-progress
83,78,36,done
97,77,5,pending
39,47,87,done
