Field1,Field2,Field3,Status
54,57,15,in-progress
86,86,68,in-progress
65,94,65,pending
68,58,69,in-progress
52,64,97,pending
89,68,83,in-progress
52,76,50,pending
55,78,80,done
9,89,1,in-progress
88,90,27,in-progress
40,83,59,in-progress
2,53,81,in-progress
68,65,36,done
61,53,75,pending
99,64,32,in-progress
99,54,67,done
36,84,11,pending
79,84,94,done
6,63,92,done
66,55,4,in-progress
50,70,1,done
40,69,44,done
74,83,70,done
93,58,36,done
47,57,85,pending
47,72,87,done
60,98,23,pending
7,62,24,done
12,74,2,done
58,70,9,in-progress
85,69,8,pending
34,74,26,pending
85,97,2,pending
95,62,18,pending
34,70,28,in-progress
50,54,79,pending
86,94,72,done
43,94,13,pending
52,99,36,pending
28,59,64,pending
84,58,15,done
61,75,92,pending
10,82,67,in-progress
81,100,51,pending
11,77,61,done
45,100,69,done
24,75,20,pending
57,100,48,pending
10,100,24,done
85,86,59,done
38,100,66,done
62,71,84,pending
78,68,56,done
26,80,72,done
8,77,7,done
100,75,42,done
64,93,96,pending
89,87,43,done
2,64,49,in-progress
46,75,49,done
56,69,10,in-progress
19,69,17,in-progress
58,98,21,done
98,66,93,pending
3,91,85,pending
63,52,15,done
82,100,95,in-progress
59,68,79,pending
65,73,20,done
41,78,52,done
6,88,67,in-progress
67,71,34,in-progress
43,67,81,pending
13,80,67,pending
48,94,66,done
2,69,66,done
81,96,50,in-progress
15,97,13,done
75,93,29,in-progress
3,74,17,done
44,82,82,in-progress
11,60,17,in-progress
39,61,3,in-progress
25,81,1,done
87,94,67,done
58,97,8,done
45,89,35,done
75,55,64,done
50,90,4,pending
11,97,50,done
49,75,53,done
83,72,30,done
74,95,77,pending
85,76,51,in-progress
87,90,81,pending
58,55,53,done
12,64,9,done
23,51,65,in-progress
42,52,97,done
73,68,82,done
97,52,71,in-progress
100,68,93,done
67,97,24,done
86,58,57,done
5,67,98,pending
42,66,71,in-progress
67,60,77,done
1,56,81,pending
74,90,76,done
96,62,19,done
20,92,54,done
87,89,27,in-progress
14,72,58,done
98,91,55,in-progress
65,51,99,pending
27,56,65,done
18,86,4,done
99,78,16,done
49,56,43,done
95,76,2,pending
83,60,89,done
82,54,89,done
78,77,87,done
32,87,87,in-progress
49,96,25,in-progress
32,73,78,done
58,100,56,done
25,92,38,done
24,69,91,pending
62,64,86,done
40,95,75,pending
36,97,58,done
66,76,47,in-progress
65,52,19,in-progress
16,54,59,in-progress
80,63,32,pending
75,61,54,done
87,72,47,pending
30,78,59,done
62,56,17,done
53,80,80,in-progress
87,79,47,pending
30,88,89,done
8,91,37,done
34,67,36,in-progress
33,54,78,done
70,71,2,in-progress
27,74,20,done
43,82,4,done
67,71,16,done
20,77,96,done
89,61,97,in-progress
12,72,89,pending
5,74,19,pending
7,72,83,done
75,72,7,done
74,62,39,pending
44,81,51,done
4,95,14,done
47,80,40,done
70,83,55,pending
38,67,85,in-progress
52,90,6,done
21,55,72,done
52,76,78,pending
67,96,82,done
78,54,87,done
93,71,67,done
43,75,78,pending
15,62,2,pending
22,84,98,pending
6,100,82,done
16,69,50,done
37,62,36,pending
14,51,72,pending
18,76,70,pending
69,78,91,in-progress
62,100,57,in-progress
14,78,25,pending
3,61,42,in-progress
83,98,88,done
61,87,9,done
62,76,3,done
54,81,14,pending
19,68,69,pending
9,85,2,pending
59,87,54,pending
54,79,82,pending
41,55,14,done
47,88,39,done
60,71,60,done
81,83,13,done
15,65,85,done
16,67,46,in-progress
71,66,29,done
75,88,55,pending
58,73,28,pending
53,90,17,done
82,93,44,in-progress
24,67,18,done
55,61,38,done
70,59,98,in-progress
65,94,79,pending
1,89,99,in-progress
77,88,56,done
93,78,65,in-progress
100,82,34,pending
66,96,40,in-progress
44,58,38,pending
72,58,7,pending
61,81,56,done
80,71,55,in-progress
31,76,77,done
8,84,91,pending
93,51,21,in-progress
54,51,38,pending
92,69,21,pending
15,72,90,in-progress
33,53,81,done
74,74,68,pending
92,86,19,pending
34,80,28,done
93,80,90,pending
68,95,87,done
5,94,28,done
7,100,97,done
88,87,80,done
60,74,65,done
39,91,31,in-progress
34,62,28,done
80,58,67,done
83,71,57,pending
8,73,53,done
73,100,26,done
74,52,35,in-progress
63,68,46,pending
4,71,95,done
43,58,41,pending
20,83,32,done
47,85,52,done
78,54,42,done
40,65,35,done
65,65,20,done
10,53,43,in-progress
52,78,45,done
15,83,50,in-progress
86,67,74,pending
79,60,1,done
22,54,15,done
41,63,96,pending
44,73,71,done
77,65,16,done
18,77,42,done
23,66,7,done
83,84,88,done
82,61,33,done
65,76,31,in-progress
18,97,29,done
71,84,59,in-progress
22,86,90,done
4,83,93,in-progress
51,58,1,done
98,72,56,done
20,53,90,done
73,67,35,pending
13,78,88,done
4,75,93,pending
36,100,67,in-progress
73,64,51,done
1,86,66,in-progress
70,86,47,done
100,74,49,done
39,92,6,in-progress
13,72,31,pending
46,92,95,done
38,61,24,in-progress
57,96,32,pending
27,80,67,done
69,64,44,in-progress
57,60,24,pending
14,94,21,done
20,93,48,done
39,87,81,in-progress
86,81,50,done
61,67,3,done
97,85,60,done
25,97,54,done
67,78,46,pending
95,57,78,in-progress
13,58,13,done
86,57,34,pending
100,55,39,done
9,95,27,done
19,56,74,done
42,79,69,in-progress
21,88,83,in-progress
45,53,8,in-progress
62,52,51,done
2,68,31,done
50,75,55,done
27,57,98,done
38,98,9,done
56,85,38,done
39,55,77,done
14,68,4,done
44,60,100,done
90,68,2,done
50,74,8,done
86,99,4,done
50,59,48,done
93,83,3,done
81,63,54,done
83,92,5,pending
8,93,89,done
88,82,63,pending
100,53,69,pending
13,52,93,done
63,70,60,in-progress
19,89,47,done
4,58,34,done
18,89,40,done
83,53,51,done
35,62,99,in-progress
88,91,98,pending
37,54,16,done
63,67,51,in-progress
28,74,76,done
89,54,40,in-progress
92,91,16,done
29,65,60,in-progress
31,100,97,done
63,94,85,done
100,65,37,done
29,72,26,done
71,80,86,pending
37,77,42,done
81,84,46,done
11,66,90,pending
13,63,39,pending
6,89,89,done
73,64,47,done
5,79,4,done
25,93,85,done
58,57,73,done
89,97,87,done
6,85,14,done
92,76,99,done
59,64,61,done
74,67,56,in-progress
24,81,45,done
81,74,82,done
49,97,55,done
46,98,67,pending
5,96,79,in-progress
83,84,47,pending
3,94,74,done
79,93,46,done
42,69,34,done
37,91,26,done
20,93,70,done
35,100,91,done
98,56,61,done
56,95,99,in-progress
64,80,1,done
38,79,78,done
40,87,16,pending
21,79,69,done
20,97,10,done
44,80,11,pending
76,59,10,done
71,55,72,done
51,83,37,done
5,56,95,done
47,55,48,in-progress
91,97,54,done
17,75,51,done
66,78,16,done
85,56,77,in-progress
11,87,96,done
55,55,100,pending
3,81,63,pending
97,85,45,in-progress
65,75,54,pending
67,94,89,in-progress
31,100,79,done
80,93,79,done
37,62,61,pending
14,68,73,pending
9,90,18,done
1,77,59,done
93,71,73,done
30,75,18,done
36,76,56,done
11,68,85,done
77,55,59,in-progress
47,95,87,in-progress
61,79,41,done
65,75,68,done
14,88,100,in-progress
32,87,98,pending
64,54,53,pending
42,100,73,in-progress
22,64,4,done
51,69,62,in-progress
93,100,72,in-progress
68,83,75,in-progress
43,74,7,done
81,88,13,done
13,55,79,in-progress
43,96,89,done
98,92,49,pending
97,71,20,done
94,63,10,in-progress
85,85,35,in-progress
92,63,32,in-progress
2,75,65,done
7,90,100,in-progress
25,68,42,in-progress
79,79,21,done
77,77,79,in-progress
100,90,49,done
64,65,14,pending
15,76,71,in-progress
48,71,65,pending
89,56,76,pending
44,93,72,in-progress
76,94,16,done
63,95,81,pending
86,82,97,done
59,84,96,pending
27,79,54,pending
14,91,2,in-progress
25,77,23,in-progress
2,88,59,pending
94,56,50,in-progress
32,76,25,done
79,56,75,in-progress
11,95,86,in-progress
67,64,55,pending
14,94,90,done
76,55,11,pending
24,81,86,done
94,88,55,done
91,70,24,pending
17,72,99,done
75,56,2,done
63,52,33,pending
80,76,43,done
4,75,13,in-progress
8,95,22,in-progress
29,86,15,in-progress
9,82,70,done
18,79,96,done
95,87,75,done
53,79,79,done
13,81,64,done
96,87,17,done
79,51,26,done
57,97,78,pending
80,52,97,in-progress
77,87,10,pending
84,73,4,done
39,86,59,done
42,74,1,pending
44,98,48,done
10,64,76,done
34,76,42,in-progress
80,96,88,pending
100,58,30,done
48,88,5,pending
81,76,47,pending
100,88,35,pending
3,85,62,done
18,97,30,in-progress
73,78,36,done
87,77,5,pending
9,54,33,in-progress
64,87,89,done
82,93,10,done
23,53,67,pending
92,76,85,done
20,66,34,done
83,82,7,done
85,61,72,done
61,65,64,pending
58,73,62,in-progress
31,94,95,done
64,61,94,pending
21,74,9,done
60,58,73,in-progress
31,51,79,done
15,87,1,in-progress
87,92,57,done
38,72,87,done
93,93,88,done
92,70,49,pending
11,77,40,done
58,71,19,pending
4,81,54,in-progress
12,83,54,done
90,88,68,done
80,75,76,done
46,92,58,done
60,99,97,done
70,98,76,done
45,85,81,in-progress
76,57,71,in-progress
72,91,9,pending
85,74,13,done
50,88,54,in-progress
2,79,73,in-progress
42,51,90,done
13,83,95,in-progress
17,58,84,pending
40,98,64,pending
72,82,8,done
59,95,78,in-progress
73,87,93,in-progress
18,97,58,done
9,55,53,in-progress
34,71,15,in-progress
57,87,35,done
57,60,89,in-progress
30,93,71,done
12,57,97,pending
37,91,84,done
64,99,25,in-progress
34,59,43,pending
26,76,64,done
37,65,30,pending
84,71,87,done
49,51,44,in-progress
22,55,96,in-progress
84,89,90,done
32,51,42,in-progress
62,58,66,in-progress
55,95,52,done
52,82,66,done
63,59,29,done
85,60,86,in-progress
25,76,90,pending
68,100,68,pending
91,70,20,done
99,56,38,done
73,79,17,done
69,99,21,done
43,92,27,done
23,91,79,done
39,59,64,done
35,88,78,done
50,98,57,in-progress
88,99,54,done
49,79,76,in-progress
80,92,92,done
69,93,99,done
97,83,40,pending
27,99,84,in-progress
35,92,43,done
74,77,66,pending
98,64,72,done
85,79,13,done
46,98,53,done
40,99,68,pending
61,87,5,done
27,66,42,done
97,58,40,pending
27,89,37,done
57,93,71,done
6,98,76,in-progress
30,57,43,done
88,90,74,done
92,98,58,done
80,60,30,done
92,72,30,done
49,51,90,pending
84,89,42,in-progress
40,90,93,in-progress
39,77,78,done
37,69,79,in-progress
90,92,96,done
45,93,44,done
25,97,82,done
18,95,46,done
43,86,26,in-progress
73,57,59,pending
72,67,33,done
22,83,52,pending
14,88,75,done
97,83,30,pending
78,83,96,done
65,83,60,in-progress
28,86,42,done
89,66,86,pending
77,97,52,in-progress
72,96,71,pending
97,78,4,pending
69,82,91,done
31,86,24,in-progress
94,61,59,done
32,73,57,pending
66,64,96,done
64,94,100,done
23,90,21,done
95,71,19,in-progress
76,53,16,pending
91,95,95,done
57,82,58,pending
20,97,12,in-progress
68,86,68,pending
41,98,84,done
48,64,28,in-progress
38,74,71,pending
36,94,100,done
71,82,81,pending
29,89,94,done
99,57,60,in-progress
53,93,55,pending
1,65,62,done
30,91,3,done
7,58,85,done
28,92,38,pending
50,97,47,pending
8,59,28,done
26,68,76,done
70,96,60,pending
74,99,35,in-progress
21,56,61,in-progress
81,94,66,done
51,80,18,pending
57,68,23,done
2,59,33,in-progress
71,56,10,in-progress
82,93,69,done
6,80,77,done
28,59,31,pending
61,67,27,done
31,57,84,pending
50,81,30,in-progress
52,68,18,done
92,85,31,pending
38,94,31,in-progress
80,96,7,pending
77,96,33,done
39,100,85,pending
87,70,57,done
7,57,18,done
24,96,7,pending
3,56,71,done
48,57,17,pending
32,64,14,pending
29,58,78,in-progress
61,51,21,pending
38,78,89,in-progress
13,100,22,pending
36,77,66,done
64,82,44,pending
36,92,65,pending
9,97,77,done
75,78,43,pending
21,80,78,done
20,77,86,done
26,73,16,done
47,90,96,in-progress
92,51,10,done
24,78,58,pending
73,90,40,pending
32,73,62,done
45,86,65,pending
95,53,27,done
14,61,86,pending
8,81,28,done
96,77,30,pending
35,51,91,done
54,54,33,pending
21,66,100,in-progress
17,61,47,done
14,80,66,in-progress
65,64,91,done
48,76,80,done
21,51,17,in-progress
76,80,60,in-progress
59,51,57,done
92,68,40,done
31,92,98,done
1,64,96,done
94,55,23,done
41,53,53,pending
54,75,91,done
43,68,39,pending
62,96,18,done
14,99,43,pending
71,93,52,pending
10,99,31,done
87,92,24,pending
85,95,36,pending
34,54,80,done
61,78,49,done
78,54,3,done
82,90,40,in-progress
7,95,86,done
12,59,9,done
77,62,3,pending
33,71,81,done
1,77,1,done
94,56,61,pending
46,59,45,in-progress
64,73,6,in-progress
31,78,42,done
13,75,66,in-progress
41,79,87,done
69,96,48,done
31,83,42,done
86,66,7,pending
77,89,68,done
64,52,93,pending
61,80,42,done
17,55,87,done
59,90,75,done
68,92,11,done
100,97,63,done
87,71,82,done
93,77,78,done
44,71,5,in-progress
4,69,29,in-progress
35,96,96,pending
19,70,43,pending
6,88,48,done
19,91,65,done
61,85,3,done
75,85,34,done
86,88,49,done
75,88,51,in-progress
86,87,60,done
58,72,95,done
69,90,71,pending
56,56,91,pending
18,69,38,done
95,91,27,done
32,53,21,done
1,58,47,done
100,92,64,done
51,70,97,in-progress
33,56,83,pending
3,80,2,done
100,77,31,in-progress
94,90,46,done
26,79,73,done
86,81,74,done
61,51,1,pending
39,100,98,pending
95,94,58,in-progress
91,86,82,in-progress
49,74,81,pending
31,57,6,done
42,55,13,pending
64,95,97,in-progress
16,63,34,in-progress
17,85,67,done
85,93,78,done
82,51,56,done
6,54,27,in-progress
46,90,99,pending
73,77,100,in-progress
86,68,9,in-progress
99,79,48,in-progress
98,94,40,done
61,68,89,done
22,88,46,done
47,85,68,in-progress
21,61,20,done
71,63,13,done
68,74,18,done
67,64,3,done
73,52,37,in-progress
70,58,40,done
70,88,88,pending
62,64,84,pending
98,89,27,done
97,69,56,done
42,85,34,done
43,51,38,in-progress
23,92,47,done
50,62,96,done
88,88,49,in-progress
7,82,87,in-progress
42,78,10,pending
51,56,4,done
21,64,85,in-progress
67,79,81,done
88,58,43,pending
59,99,14,done
50,88,55,done
22,89,87,done
17,75,97,done
60,58,5,in-progress
42,71,11,done
58,94,98,pending
57,66,30,done
77,98,84,done
41,62,22,pending
99,95,28,pending
34,63,79,in-progress
9,87,78,done
1,87,28,in-progress
30,67,31,done
55,71,73,done
71,68,85,pending
4,60,24,in-progress
44,52,85,done
30,67,27,done
75,78,84,done
32,89,91,done
70,87,25,pending
77,70,56,pending
70,60,45,pending
34,53,26,pending
12,62,5,pending
96,64,95,done
49,74,34,pending
27,76,7,in-progress
2,53,47,done
37,69,23,in-progress
83,92,80,done
61,86,86,pending
73,53,19,done
12,82,27,in-progress
40,59,42,done
38,54,5,done
17,59,100,done
63,55,15,done
59,82,45,pending
41,83,59,pending
37,54,31,pending
71,77,96,done
80,53,55,pending
58,98,74,in-progress
2,74,59,done
71,59,29,done
29,83,99,in-progress
13,97,46,in-progress
89,63,22,done
70,51,15,done
55,60,59,done
46,78,70,in-progress
36,87,24,pending
65,62,32,pending
44,68,96,in-progress
85,69,62,in-progress
23,59,54,pending
80,71,15,in-progress
74,74,18,pending
61,82,71,in-progress
28,92,1,in-progress
22,54,50,in-progress
1,94,81,done
99,76,33,in-progress
43,80,86,done
99,97,34,done
80,70,41,pending
31,94,79,done
73,93,75,pending
47,100,3,done
53,78,84,done
67,88,15,done
32,100,74,done
100,90,49,done
34,88,2,in-progress
34,55,91,pending
6,78,38,done
50,70,61,done
18,88,23,done
3,62,27,done
84,80,18,done
91,72,59,done
83,58,71,done
81,72,29,done
7,82,99,pending
14,97,17,done
91,75,38,in-progress
76,85,21,done
60,54,12,done
18,80,21,done
78,72,24,done
42,88,90,done
53,76,29,pending
34,85,65,done
4,68,40,in-progress
85,83,53,in-progress
54,87,47,done
41,51,93,done
1,80,37,done
5,76,82,pending
33,76,100,done
91,61,31,pending
25,85,92,pending
63,100,48,done
49,86,49,in-progress
85,63,75,done
55,57,23,done
79,79,42,in-progress
80,79,12,done
81,65,63,in-progress
77,76,57,in-progress
32,93,62,pending
96,62,100,in-progress
76,82,64,pending
86,98,44,pending
67,88,51,done
13,63,18,in-progress
29,70,15,done
78,57,92,pending
45,55,51,in-progress
29,89,98,done
64,84,70,done
73,98,6,in-progress
49,71,60,in-progress
76,52,65,done
36,54,59,done
59,76,53,in-progress
26,64,58,done
61,56,26,done
57,68,43,pending
85,76,95,pending
27,100,39,done
41,91,35,done
66,65,7,done
11,60,49,pending
53,100,23,in-progress
33,61,64,in-progress
81,87,64,pending
86,79,8,in-progress
90,95,71,pending
12,93,81,done
91,55,39,pending
17,64,4,done
82,56,89,done
61,52,81,in-progress
27,83,36,pending
37,86,18,done
31,75,81,done
90,67,43,pending
51,100,54,done
42,76,85,done
42,79,77,done
63,73,56,pending
23,87,39,done
84,55,39,done
25,62,81,in-progress
74,55,86,pending
92,100,50,done
80,54,11,pending
77,98,67,done
95,78,21,done
8,82,98,pending
94,63,2,done
81,57,90,done
74,98,31,pending
18,61,82,in-progress
56,56,27,in-progress
63,63,95,pending
55,62,72,done
41,57,32,done
70,70,57,done
93,79,40,pending
100,55,98,done
14,67,71,pending
37,80,49,done
4,66,53,pending
13,96,54,pending
55,77,85,done
18,65,94,done
64,98,60,done
35,65,66,done
43,75,28,in-progress
36,88,97,done
11,62,30,done
95,93,23,in-progress
23,67,91,in-progress
41,95,58,pending
14,77,89,done
89,99,21,done
20,51,21,done
89,64,56,done
18,75,94,done
4,68,11,in-progress
19,67,58,in-progress
6,74,87,done
57,59,64,done
76,70,20,done
38,67,95,pending
50,60,18,in-progress
87,62,74,pending
58,95,37,done
98,87,15,done
49,72,35,pending
74,70,35,done
14,100,7,pending
53,99,59,pending
69,66,72,done
19,84,55,pending
60,86,77,done
3,98,70,pending
14,100,60,done
42,96,93,done
61,76,98,in-progress
26,80,41,done
80,91,21,done
35,80,10,pending
92,51,5,done
2,70,43,done
60,91,71,in-progress
11,58,67,done
32,92,2,pending
45,81,52,in-progress
66,88,70,in-progress
88,52,35,done
20,90,35,in-progress
47,72,43,pending
41,67,57,done
43,93,87,pending
85,84,35,in-progress
11,67,29,done
88,87,58,pending
40,82,95,done
32,79,81,done
82,90,16,pending
66,93,31,done
7,67,3,pending
19,85,39,in-progress
74,100,58,pending
4,87,64,done
48,55,37,done
18,87,91,done
71,78,76,done
25,78,6,in-progress
55,89,27,done
52,86,66,done
9,94,65,in-progress
84,51,51,done
79,73,83,pending
4,65,28,done
82,62,44,pending
95,65,27,done
36,74,1,done
22,80,85,in-progress
85,60,92,pending
5,52,27,pending
36,77,91,done
40,97,42,pending
15,64,40,done
3,58,34,pending
66,86,17,done
97,100,38,done
63,59,66,pending
73,69,72,in-progress
94,78,98,done
62,61,7,done
96,64,72,in-progress
97,67,4,in-progress
50,97,88,done
14,93,36,done
97,58,47,in-progress
52,76,15,done
89,75,45,done
80,71,40,in-progress
5,97,58,in-progress
78,94,86,done
63,89,99,done
78,89,79,done
19,78,26,pending
42,51,12,done
29,52,34,in-progress
4,95,41,pending
10,66,36,pending
53,68,24,in-progress
9,59,61,done
22,82,55,in-progress
5,79,67,pending
74,89,67,done
50,81,76,done
100,56,26,in-progress
51,100,63,pending
52,94,69,done
77,78,54,done
23,71,57,done
91,68,54,pending
12,60,14,done
29,74,88,done
67,54,85,done
70,66,36,done
55,94,100,done
18,73,62,in-progress
66,58,89,done
59,52,90,pending
100,90,90,in-progress
35,73,56,done
82,56,99,pending
30,81,30,in-progress
45,99,78,pending
4,56,35,pending
28,74,7,in-progress
9,70,100,pending
70,98,47,in-progress
99,81,49,done
22,96,87,in-progress
15,71,71,pending
86,56,79,pending
34,69,69,pending
18,51,52,pending
74,66,38,pending
89,89,98,pending
13,65,52,done
97,68,82,in-progress
100,90,55,done
96,56,69,pending
66,71,50,done
19,53,43,pending
98,64,71,pending
41,58,81,done
4,86,59,in-progress
84,94,26,in-progress
31,62,62,in-progress
91,55,67,done
70,99,87,done
83,91,63,pending
93,79,63,done
12,95,95,done
10,94,8,in-progress
80,95,40,in-progress
4,56,36,done
69,67,65,done
9,100,72,done
52,89,7,in-progress
39,94,97,done
77,68,18,done
33,69,73,done
24,99,49,done
100,87,34,done
48,94,9,in-progress
60,59,32,done
8,88,57,in-progress
14,67,52,in-progress
75,61,53,in-progress
73,55,27,pending
57,96,43,done
20,67,26,done
65,83,27,pending
6,71,57,in-progress
19,76,52,in-progress
90,98,80,in-progress
36,94,24,done
39,79,3,pending
68,73,42,pending
44,96,6,done
70,73,41,in-progress
57,99,95,in-progress
92,70,3,in-progress
69,62,75,done
53,67,100,pending
64,61,53,in-progress
47,99,50,done
68,93,73,pending
35,99,58,done
51,89,98,in-progress
27,81,86,done
50,83,3,in-progress
14,60,49,done
79,60,11,in-progress
11,75,33,done
85,61,44,pending
94,68,95,in-progress
87,66,49,done
7,94,48,done
61,81,19,in-progress
99,81,43,done
95,92,78,done
44,84,21,done
65,88,2,pending
85,63,57,in-progress
43,76,87,pending
57,62,7,pending
26,59,30,done
86,87,64,pending
21,80,72,in-progress
21,87,85,in-progress
67,82,16,in-progress
38,62,11,pending
6,93,39,pending
7,55,4,done
17,98,51,in-progress
56,69,97,in-progress
79,60,68,pending
21,84,52,done
63,94,52,pending
